StateCounty,TotalPop,Men,Women,Citizen,MeanCommute,Employed,Hispanic_,White_,Black_,Native_,Asian_,Pacific_,Poverty_,ChildPoverty_,Professional_,Service_,Office_,Construction_,Production_,Drive_,Carpool_,Transit_,Walk_,OtherTransp_,WorkAtHome_,PrivateWork_,PublicWork_,SelfEmployed_,FamilyWork_,Unemployment_,income_weighted,per_dem,per_gop,clinton_win
Washington_Garfield,2230,0.4977578,0.5022422,0.7713004,20.1,0.3959641,0.03408072,0.9408072,0,0.000896861,0.01210762,0,0.1147982,0.1690583,0.3560538,0.1820628,0.2479821,0.1269058,0.08699552,0.7529148,0.08609865,0.000896861,0.05695067,0.00896861,0.0941704,0.4852018,0.3242152,0.1910314,0,0.07399103,22884,0.224026,0.6826299,FALSE
Washington_Grant,92070,0.5051265,0.4948735,0.5538286,18.63612,0.4161399,0.3968719,0.5597154,0.006049745,0.009579668,0.009894645,0.000543065,0.1792332,0.2211795,0.2761594,0.159357,0.1618551,0.2511676,0.1511785,0.742837,0.123178,0.02399261,0.02876073,0.02493755,0.05604431,0.7531552,0.1945585,0.05128706,0.000879765,0.1009449,20251.09,0.2748761,0.6539986,FALSE
Washington_Grays Harbor,71419,0.5145409,0.4854591,0.7568154,23.69745,0.3668072,0.09596886,0.8013694,0.01134152,0.04039541,0.01478598,0.003570478,0.1818004,0.2378639,0.2498355,0.25377,0.2290287,0.1172237,0.1498621,0.7656506,0.1352721,0.01502401,0.02437727,0.01925258,0.04012938,0.7104972,0.2180652,0.06981335,0.001610216,0.1458715,22386.67,0.4255685,0.4962971,FALSE
Washington_Island,79329,0.4984306,0.5015694,0.7844672,29.90816,0.3973957,0.06633135,0.8086324,0.02790909,0.009580355,0.04630085,0.00475236,0.09697589,0.1342132,0.3456239,0.1946451,0.2225038,0.1359528,0.1012492,0.7577305,0.09160584,0.02911924,0.02395089,0.02435427,0.07339056,0.6636665,0.2485976,0.08391635,0.003756508,0.08955111,31835.63,0.4894755,0.430383,TRUE
Washington_Jefferson,30083,0.4936343,0.5063657,0.8435329,23.29209,0.382874,0.0340724,0.8864475,0.007878204,0.0215404,0.01608882,0.001429379,0.1219958,0.1701958,0.3327793,0.2128777,0.23977,0.120234,0.09417279,0.7169165,0.09663265,0.01951268,0.05813915,0.02549613,0.08353555,0.6637303,0.1892763,0.1464615,0.000631586,0.09620051,28592.77,0.6246766,0.2978109,TRUE
Washington_King,2045756,0.4990336,0.5009664,0.6915087,28.22073,0.5277272,0.09276082,0.6279918,0.06029067,0.005824742,0.1550297,0.007648517,0.1146002,0.1325251,0.479938,0.1590546,0.2127874,0.05800741,0.09018329,0.6543117,0.09987604,0.115396,0.04324074,0.02604612,0.06111188,0.8161183,0.1251562,0.05704981,0.001704504,0.06467976,41664.08,0.7214892,0.2171454,TRUE
Washington_Kitsap,255441,0.509417,0.490583,0.7666506,30.26164,0.4217999,0.07087742,0.7774594,0.02550491,0.01036247,0.04695409,0.007214973,0.1056213,0.1348413,0.3810391,0.192197,0.2249756,0.09891912,0.1029161,0.6980594,0.08593374,0.09052971,0.03810273,0.0225923,0.06476251,0.6572163,0.2746466,0.06712705,0.000998274,0.08137691,32063.46,0.5105248,0.3942002,TRUE
Washington_Kittitas,42204,0.5005687,0.4994313,0.787295,21.33198,0.4694105,0.084755,0.846389,0.009525163,0.007842858,0.02265188,0.000544972,0.2337456,0.1847218,0.3217231,0.2225145,0.2198607,0.1111032,0.1245143,0.7216378,0.08612928,0.00779547,0.09335608,0.03807696,0.05298076,0.6598427,0.2620131,0.07560895,0.002867027,0.07769406,24014.2,0.3921676,0.5369805,FALSE
Washington_Klickitat,20820,0.4936119,0.5063881,0.7611431,23.14436,0.3730067,0.1197406,0.8230067,0.007684918,0.02795389,0.00456292,0.002449568,0.1519693,0.2574928,0.3573967,0.167195,0.2081172,0.1527858,0.1144573,0.7513929,0.09476465,0,0.0445245,0.01133525,0.09764649,0.6961095,0.2063401,0.0932757,0.003986551,0.07315082,22455.69,0.3835075,0.5467086,FALSE
Washington_Lewis,75515,0.5002185,0.4997815,0.7480236,26.01629,0.3879627,0.09466993,0.8466795,0.007217109,0.00578693,0.01150765,0.000132424,0.1637291,0.2028868,0.2601073,0.1998278,0.2347481,0.1250215,0.180441,0.7822949,0.1241475,0.01030259,0.02305502,0.008210289,0.05225452,0.7345031,0.1922532,0.07107197,0.001999603,0.119751,22480.37,0.2894979,0.6510502,FALSE
